ch,no,hanji,lomaji,mandarin,audio
4,5,這台車猶會使騎。,Tsit tâi tshia iáu ē-sái khiâ.,這部車還能騎。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_02_05_14.mp3
4,6,我的車票是拍往回的。,Guá ê tshia-phiò sī phah ońg-huê--ê.,我的車票買的是來回票。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_02_06_14.mp3
4,7,麻煩你斡對倒手爿去。,Mâ-huân lí uat uì tò-tshiú-pin̂g--khì.,麻煩你往左彎。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_02_07_14.mp3
5,1,伊已經倒轉去下港矣。,I í-king tò-tńg-khì ē-káng--ah.,他已經返回南部了。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_02_08_15.mp3
5,2,這條路傷狹，袂當相閃車。,"Tsit tiâu lōo siunn e̍h, bē-tàng sio-siám-tshia.",這條路太窄，無法錯車。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_02_09_15.mp3
5,3,市場離遮真遠，愛行真久。,"Tshī-tiûnn lî tsia tsin hn̄g, ài kiânn tsin kú.",市場距離這裡很遠，要走很久。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_02_10_15.mp3
5,4,阮這个庄頭的交通真無方便。,Guán tsit ê tsng-thâu ê kau-thong tsin bô hong-piān.,我們這個村莊的交通很不便利。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_02_11_15.mp3
5,5,落雨天的時陣，這條路就變甲真歹行。,"Lo̍h-hōo-thinn ê sî-tsūn, tsit tiâu lōo tō piàn kah tsin phàinn kiânn.",下雨天的時候，這條路變得很難走。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_02_12_15.mp3
6,1,這通食無？,Tse thang tsia̍h--bô?,這可以吃嗎？,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_01_16.mp3
6,2,食了傷脹。,Tsia̍h liáu siunn tiùnn.,吃得太脹。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_02_16.mp3
6,3,有幾項菜？,Ū kuí han̄g tshài?,有幾道菜？,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_03_16.mp3
6,4,我猶未食飯。,Guá iáu-buē tsia̍h pn̄g,我還沒吃飯。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_04_16.mp3
6,5,共肉冰起來。,Kā bah ping--khí-lâi,把肉冰起來。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_05_16.mp3
6,6,伊上愛食炕肉。,I sion̄g ài tsia̍h khoǹg-bah.,他最喜歡吃炕肉。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_06_16.mp3
6,7,我欲去買雞卵。,Guá beh khì bé ke-nn̄g.,我要去買雞蛋。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_07_16.mp3
7,1,伊食菜，無食臊。,"I tsia̍h-tshài, bô tsia̍h-tsho.",他吃素，不吃葷。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_08_17.mp3
7,2,菜煮甲臭火焦去。,Tshài tsú kah tshàu-hué-ta--khì.,菜燒焦了。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_09_17.mp3
7,3,遐的果子予你食。,Hia-ê kué-tsí hōo lí tsia̍h.,那些水果給你吃。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_10_17.mp3
7,4,這箱柑仔予恁去分。,Tsit-siunn kam-á hōo lín khì pun.,這箱橘子給你們分了吃。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_11_17.mp3
7,5,這尾魚仔煎了有赤。,Tsit bué hî-á tsian liáu ū tshiah.,這條魚煎得微焦。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_12_17.mp3
7,6,囡仔人毋通傷揀食。,Gín-á-lâng m-thang siunn kíng-tsia̍h.,小孩子不可以太挑食。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_13_17.mp3
7,7,毋通予豆油滴落來。,M̄-thang hōo tāu-iû tih--lo̍h-lâi,不要讓醬油滴下來。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_14_17.mp3
8,1,你敢有鼻著臭火焦味?,Lí kám ū phīnn-tio̍h tshàu-hué-ta bī?,你聞到燒焦味了嗎？,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_15_18.mp3
8,2,這个湯頭的滋味袂䆀。,Tsit ê thng-thâu ê tsu-bī bē-bái.,這個湯頭味道不錯。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_16_18.mp3
8,3,伊共餅貯入去盒子底。,I kā piánn té ji̍p-khì a̍p-á-té.,他把餅乾裝進去盒子裡頭。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_17_18.mp3
8,4,新竹出產的貢丸真有名。,Sin-tik tshut-sán ê kòng-uân tsin ū-miâ.,新竹生產的貢丸很有名。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_18_18.mp3
8,5,你愈啉咖啡抑是欲啉茶？,Lí beh lim ka-pi ia̍h-sī beh lim-tê.,你要喝咖啡還是要喝茶？,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_19_18.mp3
8,6,西瓜愛著時才會好食。,Si-kue tio̍h-ài tio̍h-sî tsiah ē hó-tsia̍h.,西瓜要當季出產的才好吃。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_20_18.mp3
8,7,我的嚨喉㧎著一枝魚刺。,Guá ê nâ-âu khê-tio̍h tsi̍t ki hî-tshì.,我的喉嚨卡著一根魚刺。,https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_03_21_18.mp3
